机顶盒设备号,统计日期,二级目录,影片名称,观看开始时间,观看结束时间,用户号
10013,20170817,精彩点,欢乐颂2(37)(高清),16:01:11,16:58:47,11075
10013,20170807,精彩点,07月12日 贝肯熊(高清),16:59:39,19:29:34,11075
10013,20171031,精彩点,08月03日 熊出没之丛林总动员(高清),18:48:29,20:25:10,11075
10013,20170920,精彩点,08月10日 熊出没之环球大冒险(高清),12:18:13,13:12:16,11075
10013,20171001,精彩点,08月05日 小猪佩奇(高清),11:02:40,11:27:44,11075
10013,20170806,精彩点,大军师司马懿之军师联盟(28)(高清),21:07:16,21:50:57,11075
10013,20170715,精彩点,大军师司马懿之军师联盟(01)(高清),21:32:17,22:19:34,11075
10013,20170718,精彩点,07月02日 贝肯熊(高清),20:09:31,20:37:25,11075
10013,20171001,精彩点,08月06日 小猪佩奇(高清),11:27:51,11:53:07,11075
10013,20170831,精彩点,08月01日 熊出没之丛林总动员(高清),12:08:25,13:42:45,11075
10013,20170819,精彩点,欢乐颂2(55)(大结局)(高清),12:54:48,13:27:21,11075
10013,20170825,精彩点,07月01日 贝肯熊(高清),13:09:39,11:02:53,11075
10013,20170822,精彩点,07月04日 贝肯熊(高清),20:50:06,21:16:36,11075
10013,20170902,精彩点,07月01日 贝肯熊(高清),9:45:05,10:12:58,11075
10013,20170816,精彩点,07月02日 贝肯熊(高清),20:43:29,20:54:48,11075
10013,20170821,精彩点,07月03日 贝肯熊(高清),9:23:08,9:46:34,11075
10013,20170908,精彩点,07月13日 贝肯熊(高清),14:39:12,16:04:21,11075
10013,20170805,精彩点,07月11日 熊熊乐园(高清),19:49:16,20:49:12,11075
10013,20170818,精彩点,08月09日 熊出没之环球大冒险(高清),12:27:42,12:29:49,11075
10013,20171016,精彩点,07月02日 贝肯熊(高清),17:16:00,17:39:00,11075
10013,20170928,精彩点,那年花开月正圆(51)(高清),13:58:31,14:39:12,11075
10013,20170821,精彩点,08月16日 熊出没之环球大冒险(高清),22:48:08,23:11:45,11075
10013,20170729,精彩点,07月05日 贝肯熊(高清),11:32:52,11:57:51,11075
10013,20171012,精彩点,07月26日 小猪佩奇(高清),17:27:11,17:42:47,11075
10013,20170807,精彩点,大军师司马懿之军师联盟(32)(高清),19:56:30,20:40:32,11075
10013,20170717,精彩点,07月01日 贝肯熊(高清),12:07:47,12:32:51,11075
10013,20170910,精彩点,08月08日 小猪佩奇(高清),18:53:22,19:17:49,11075
10013,20170810,精彩点,07月15日 贝肯熊(高清),12:06:49,12:31:06,11075
10013,20170809,精彩点,07月07日 贝肯熊(高清),19:59:50,20:24:24,11075
10013,20170825,精彩点,08月14日 熊出没之环球大冒险(高清),17:10:03,17:35:30,11075
10013,20170825,精彩点,07月03日 熊熊乐园(高清),18:55:10,19:20:39,11075
10013,20170730,精彩点,07月15日 贝肯熊(高清),14:14:35,14:38:52,11075
10013,20171026,精彩点,08月03日 熊出没之丛林总动员(高清),9:54:58,17:24:07,11075
10013,20170917,精彩点,大头儿子和小头爸爸(29)(高清),19:44:59,19:53:55,11075
10013,20171016,精彩点,07月01日 贝肯熊(高清),16:51:06,17:16:01,11075
10013,20170924,精彩点,大头儿子和小头爸爸(61)(高清),11:40:11,11:48:26,11075
10013,20170817,精彩点,07月30日 熊出没之丛林总动员(高清),11:05:16,11:21:44,11075
10013,20170727,精彩点,07月04日 贝肯熊(高清),10:39:35,11:04:56,11075
10013,20170718,精彩点,大军师司马懿之军师联盟(08)(高清),21:43:56,22:07:18,11075
10013,20171005,精彩点,大头儿子和小头爸爸(77)(高清),15:21:44,15:30:29,11075
10013,20170904,精彩点,大军师司马懿之军师联盟(42)(高清),22:37:54,23:25:24,11075
10013,20170808,精彩点,07月02日 贝肯熊(高清),20:49:07,21:12:29,11075
10013,20170802,精彩点,07月14日 贝肯熊(高清),11:13:23,11:42:44,11075
10013,20170904,精彩点,07月06日 贝肯熊(高清),11:20:26,11:50:28,11075
10013,20170718,精彩点,07月12日 贝肯熊(高清),10:47:04,11:13:08,11075
10013,20171010,精彩点,08月11日 小猪佩奇(高清),16:44:04,17:08:23,11075
10013,20170821,精彩点,07月02日 贝肯熊(高清),17:31:22,9:22:54,11075
10013,20170811,精彩点,07月08日 戚继光,21:50:12,17:56:02,11075
10013,20171014,精彩点,09月10日 小猪佩奇(高清),11:49:01,13:30:02,11075
10013,20171030,精彩点,08月01日 熊出没之丛林总动员(高清),11:38:18,14:53:44,11075
10013,20170924,精彩点,大军师司马懿之军师联盟(42)(高清),21:30:23,21:35:24,11075
10013,20170817,精彩点,长颈鹿扎拉法(高清),13:30:04,13:32:34,11075
10013,20171023,精彩点,09月10日 熊出没之丛林总动员(高清),18:00:36,19:17:48,11075
10013,20171017,精彩点,07月26日 小猪佩奇(高清),17:08:47,17:33:40,11075
10013,20170905,精彩点,07月01日 贝肯熊(高清),20:04:01,21:44:09,11075
10013,20170817,精彩点,欢乐颂2(32)(高清),1:48:26,2:14:57,11075
10013,20170924,精彩点,大头儿子和小头爸爸(60)(高清),11:31:46,11:40:02,11075
10013,20171013,精彩点,大头儿子和小头爸爸(78)(高清),19:05:49,19:13:59,11075
10013,20170804,精彩点,05月16日 熊熊乐园(高清),11:58:04,12:45:41,11075
10013,20170817,精彩点,长颈鹿扎拉法(高清)(让信守承诺开出了花),13:30:04,13:32:34,11075
10013,20170816,精彩点,07月01日 贝肯熊(高清),10:31:29,10:56:22,11075
10013,20170807,精彩点,07月01日 贝肯熊(高清),11:20:32,11:45:30,11075
10013,20171012,精彩点,那年花开月正圆(69)(高清),8:40:42,8:52:06,11075
10013,20170806,精彩点,大军师司马懿之军师联盟(30)(高清),22:34:36,23:18:15,11075
10013,20170801,精彩点,07月09日 贝肯熊(高清),20:13:56,20:37:47,11075
10013,20171002,精彩点,09月10日 小猪佩奇(高清),9:04:06,13:39:59,11075
10013,20170718,精彩点,07月14日 贝肯熊(高清),14:14:25,14:39:03,11075
10013,20170720,精彩点,07月02日 贝肯熊(高清),19:27:12,19:55:11,11075
10013,20170917,精彩点,08月21日 熊熊乐园(高清),18:44:46,18:59:01,11075
10013,20171015,精彩点,08月09日 小猪佩奇(高清),11:41:35,12:39:35,11075
10013,20170810,精彩点,06月03日 熊出没之秋日团团转(高清),9:39:54,11:40:28,11075
10013,20170807,精彩点,07月13日 贝肯熊(高清),19:29:46,19:55:23,11075
10013,20170907,精彩点,07月15日 贝肯熊(高清),17:58:26,18:23:25,11075
10013,20170727,精彩点,07月01日 贝肯熊(高清),9:48:13,10:12:54,11075
10013,20170812,精彩点,07月01日 贝肯熊(高清),14:43:56,14:50:42,11075
10013,20170910,精彩点,07月09日 贝肯熊(高清),13:20:28,13:45:51,11075
10013,20170917,精彩点,大头儿子和小头爸爸(29)(高清),18:59:40,19:07:55,11075
10013,20170830,精彩点,07月01日 贝肯熊(高清),11:20:51,11:47:13,11075
10013,20171030,精彩点,09月16日 熊出没之丛林总动员(高清),22:32:45,23:12:20,11075
10013,20170916,精彩点,大头儿子和小头爸爸(22)(高清),19:33:37,19:42:23,11075
10013,20170929,精彩点,07月29日 小猪佩奇(高清),17:00:09,17:26:57,11075
10013,20170728,精彩点,07月07日 贝肯熊(高清),11:41:05,19:15:45,11075
10013,20170904,精彩点,07月08日 贝肯熊(高清),21:26:43,21:55:25,11075
10013,20170817,精彩点,07月25日 小猪佩奇(高清),18:00:19,18:21:46,11075
10013,20170807,精彩点,07月04日 贝肯熊(高清),12:09:44,12:34:57,11075
10013,20171005,精彩点,07月26日 小猪佩奇(高清),10:41:46,11:07:41,11075
10013,20170818,精彩点,疯岳撬佳人(高清)(小岳岳裸撩袁姗姗),0:33:34,10:52:46,11075
10013,20171005,精彩点,07月25日 小猪佩奇(高清),10:11:34,10:41:39,11075
10013,20170924,精彩点,了不起的盖茨比(高清)(莱昂纳多的发家史),22:37:31,22:45:01,11075
10013,20171023,精彩点,09月16日 熊出没之丛林总动员(高清),17:21:18,18:00:29,11075
10013,20170730,精彩点,07月14日 贝肯熊(高清),13:24:19,13:48:49,11075
10013,20171009,精彩点,07月25日 小猪佩奇(高清),9:08:03,9:32:48,11075
10013,20171013,精彩点,大头儿子和小头爸爸(73)(高清),19:51:24,20:05:27,11075
10013,20170731,精彩点,07月09日 贝肯熊(高清),20:09:11,20:32:54,11075
10015,20170813,精彩点,楚乔传(26)(高清),10:52:42,11:18:30,10299
10020,20171028,精彩点,冲出康普顿(高清),14:43:48,17:54:39,10435
10020,20171022,精彩点,玫瑰人生(高清),22:02:58,23:41:57,10435
10020,20171022,院线大片,蜘蛛侠：英雄归来(高清),19:53:01,22:00:49,10435
10027,20170724,精彩点,超时空男臣(02),12:00:35,12:42:50,10884
10027,20171007,精彩点,10月01日 蒙面唱将猜猜猜 第二季：杜德伟狂炫舞艺引欢呼(高清),12:07:48,13:09:03,10884
10027,20170822,精彩点,欢乐喜剧人(高清)(憨豆献银幕终极秀),19:35:33,19:36:34,10884
10027,20170730,热点专题,宫锁沉香(高清)(周冬雨诠释清宫虐恋),11:12:37,11:17:36,10884
10027,20170802,精彩点,楚乔传(12)(高清),19:19:58,19:20:59,10884
10027,20170827,精彩点,08月25日 中国新歌声 第二季：周董E神上演嘻哈对决(高清),13:32:53,13:34:22,10884
10027,20170815,精彩点,阿爷厨房2(20),14:04:40,14:06:37,10884
10027,20170827,精彩点,早安冬日海(高清),14:19:13,14:31:36,10884
10027,20170724,精彩点,超时空男臣(01),14:22:44,14:54:57,10884
10027,20170910,精彩点,匆匆那年(高清)(彭于晏倪妮为爱“撕扯”),19:21:51,19:40:24,10884
10027,20170820,精彩点,08月11日 中国新歌声 第二季：张婉清红酒嗓再现经典(高清),14:05:38,14:14:11,10884
10027,20170908,精彩点,嫁到这世界边端(01)(高清),23:48:18,0:08:46,10884
10027,20170916,精彩点,踩过界(25),17:06:57,17:50:21,10884
10027,20170827,精彩点,08月26日 中餐厅：周冬雨迎主厨挑战(高清),19:03:00,20:23:27,10884
10028,20171014,精彩点,爱？回家之开心速递(50),16:58:53,17:03:49,11241
10028,20171022,热点专题,建国大业(高清),9:05:42,11:12:06,11241
10028,20171022,精彩点,使徒行者2(25),18:52:37,19:35:23,11241
10028,20171005,精彩点,爱？回家之开心速递(162),20:27:33,20:47:55,11241
10028,20171021,精彩点,使徒行者2(24),8:45:13,9:31:33,11241
10028,20171005,精彩点,使徒行者2(12),10:53:55,10:58:00,11241
10028,20170916,精彩点,灿烂的外母(02)(高清),10:39:30,11:21:20,11241
10028,20171014,精彩点,爱？回家之开心速递(48),16:28:26,16:41:02,11241
10028,20171007,精彩点,兰花劫(09),22:18:00,22:59:21,11241
10028,20170708,精彩点,鸟人(高清)(奥斯卡最佳影片),10:22:06,11:13:21,11241
10028,20171009,精彩点,兰花劫(19),12:27:26,13:10:05,11241
10028,20171016,精彩点,爱？回家之开心速递(78),18:11:15,19:03:39,11241
10028,20171015,精彩点,爱？回家之开心速递(61),11:02:20,12:14:24,11241
10028,20171014,精彩点,爱？回家之开心速递(53),17:04:31,18:15:47,11241
10028,20171009,精彩点,兰花劫(20)大结局,13:10:28,13:57:36,11241
10028,20171005,热点专题,北漂鱼(高清)(北漂?潘浚？杩裥κ？,13:47:54,14:06:09,11241
10028,20171030,精彩点,爱？回家之开心速递(179),12:17:52,12:39:09,11241
10028,20171014,精彩点,爱？回家之开心速递(49),16:41:01,16:58:54,11241
10028,20171004,精彩点,杂警奇兵(02),10:35:07,11:10:26,11241
10028,20171007,精彩点,兰花劫(07),17:05:38,20:55:59,11241
10028,20171007,精彩点,兰花劫(08),22:05:09,22:18:01,11241
10028,20171012,精彩点,老表，毕业喇！(11),12:02:29,12:44:21,11241
10028,20170920,精彩点,灿烂的外母(16),17:34:53,18:17:33,11241
10028,20171014,精彩点,爱？回家之开心速递(40),15:07:23,15:28:51,11241
10028,20171015,精彩点,爱？回家之开心速递(62),12:14:44,12:36:51,11241
10028,20171013,精彩点,使徒行者2(18),8:46:12,9:29:29,11241
10028,20171022,精彩点,怒海红尘(01),9:04:32,9:05:44,11241
10028,20171023,精彩点,爱？回家之开心速递(172),17:20:03,17:41:36,11241
10028,20171007,精彩点,兰花劫(05),15:11:00,15:59:40,11241
10028,20171005,热点专题,摆渡人(高清),10:57:59,13:05:41,11241
10029,20171013,精彩点,那年花开月正圆(69)(高清),20:05:10,20:25:49,10050
10029,20170915,精彩点,盲约(19)(高清),20:07:14,20:49:00,10050
10029,20171013,精彩点,那年花开月正圆(70)(高清),20:25:48,21:08:42,10050
10032,20170824,精彩点,超时空男臣(27),7:26:58,8:14:47,10721
10032,20170820,精彩点,同盟(06),17:46:43,17:47:54,10721
10032,20170910,精彩点,爱？回家之开心速递(143),14:35:20,14:57:48,10721
10032,20170917,精彩点,踩过界(22)(高清),17:30:13,18:13:19,10721
10032,20170825,精彩点,同盟(14),18:36:28,19:19:44,10721
10032,20170811,精彩点,爱？回家之开心速递(122),14:45:32,15:06:43,10721
10032,20170803,精彩点,赌城群英会(31)(高清),7:59:44,8:00:59,10721
10032,20170930,精彩点,何所冬暖何所夏凉(26)(高清),17:46:16,17:58:10,10721
10032,20170831,精彩点,踩过界(15),18:32:01,19:19:12,10721
10032,20170727,今日上线,赌城群英会(27),20:46:15,21:28:42,10721
10032,20170902,精彩点,踩过界(19)(高清),23:07:39,23:37:53,10721
10032,20170820,精彩点,同盟(03)(高清),15:16:07,16:09:28,10721
10032,20170911,精彩点,灿烂的外母(06),19:37:51,20:19:45,10721
10032,20170820,精彩点,同盟(06)(高清),17:47:56,18:29:43,10721
10032,20170818,精彩点,同盟(08),19:23:44,19:28:21,10721
10032,20170819,精彩点,超时空男臣(25),22:32:03,22:39:29,10721
10032,20170910,精彩点,灿烂的外母(03)(高清),16:10:48,16:30:35,10721
10032,20170923,精彩点,何所冬暖何所夏凉(11)(高清),21:07:58,21:39:05,10721
10032,20170911,精彩点,灿烂的外母(04),18:05:22,18:55:14,10721
10032,20170820,精彩点,同盟(06)(高清),17:46:43,17:47:54,10721
10032,20170929,精彩点,何所冬暖何所夏凉(11)(高清),16:55:22,16:58:59,10721
10032,20170917,精彩点,踩过界(23),18:13:17,18:56:32,10721
10032,20170725,精彩点,爱？回家之开心速递(109),18:55:19,19:17:23,10721
10032,20170924,精彩点,灿烂的外母(19),16:58:39,17:54:04,10721
10032,20170805,精彩点,赌城群英会(34),18:09:22,19:13:22,10721
10032,20170818,精彩点,同盟(07)(高清),19:28:19,20:11:12,10721
10032,20170924,精彩点,何所冬暖何所夏凉(12)(高清),8:14:37,8:39:54,10721
10032,20170908,精彩点,爱？回家之开心速递(143),17:56:09,18:18:27,10721
10032,20170802,精彩点,赌城群英会(30)(高清),19:31:23,20:14:11,10721
10032,20170802,精彩点,赌城群英会(31)(高清),20:15:00,20:33:19,10721
10032,20170726,精彩点,赌城群英会(25),19:19:14,20:00:53,10721
10032,20170929,精彩点,何所冬暖何所夏凉(21)(高清),17:07:40,17:27:19,10721
10032,20170902,精彩点,踩过界(18),22:25:46,23:07:40,10721
10032,20170805,精彩点,07月29日 快乐大本营：TFBOYS献唱快本最新主题曲(高清),9:04:28,9:05:30,10721
10032,20170929,精彩点,何所冬暖何所夏凉(15)(高清),17:01:29,17:03:36,10721
10033,20171009,精彩点,那年花开月正圆(47)(高清),11:23:42,11:24:48,10839
10033,20171028,精彩点,国民大生活(34)(高清),12:06:14,12:07:38,10839
10033,20171013,精彩点,那年花开月正圆(63)(高清),22:30:54,22:54:05,10839
10033,20170928,精彩点,那年花开月正圆(13)(高清),9:29:12,11:04:10,10839
10033,20171013,精彩点,那年花开月正圆(62)(高清),10:38:54,11:36:46,10839
10033,20171015,精彩点,那年花开月正圆(68)(高清),10:23:03,10:25:46,10839
10033,20171014,精彩点,那年花开月正圆(68)(高清),22:44:05,23:20:09,10839
10033,20171009,精彩点,那年花开月正圆(49)(高清),13:25:30,15:45:54,10839
10033,20171006,精彩点,那年花开月正圆(39)(高清),22:25:13,23:21:01,10839
10033,20171003,精彩点,那年花开月正圆(32)(高清),18:16:58,18:57:00,10839
10033,20171012,精彩点,那年花开月正圆(58)(高清),21:38:48,22:18:53,10839
10033,20171011,精彩点,那年花开月正圆(53)(高清),21:19:17,22:02:43,10839
10033,20171001,精彩点,那年花开月正圆(21)(高清),15:08:40,15:57:58,10839
10033,20171001,精彩点,那年花开月正圆(18)(高清),0:15:35,0:36:43,10839
10033,20171012,精彩点,那年花开月正圆(55)(高清),13:27:44,16:56:41,10839
10033,20171003,精彩点,那年花开月正圆(35)(高清),21:30:16,22:11:28,10839
10033,20171002,精彩点,那年花开月正圆(24)(高清),21:02:54,21:04:42,10839
10033,20171011,精彩点,那年花开月正圆(52)(高清),9:57:33,10:35:30,10839
10033,20170923,精彩点,那年花开月正圆(03)(高清),21:26:50,22:11:57,10839
10033,20171007,精彩点,那年花开月正圆(40)(高清),23:21:00,0:01:19,10839
10033,20171007,精彩点,那年花开月正圆(43)(高清),21:50:50,22:34:46,10839
10033,20171013,精彩点,那年花开月正圆(61)(高清),9:50:05,10:35:06,10839
10033,20171010,精彩点,那年花开月正圆(48)(高清),17:42:33,18:54:46,10839
10033,20171011,精彩点,那年花开月正圆(55)(高清),22:50:03,23:23:26,10839
10033,20171014,精彩点,那年花开月正圆(68)(高清),23:20:09,23:24:48,10839
10036,20170716,精彩点,剃刀边缘(22)(高清),20:41:53,21:23:13,10750
10036,20170905,精彩点,超时空男臣(25),20:40:20,20:47:48,10750
10036,20170816,精彩点,繁星四月(28)(高清),23:17:58,0:02:32,10750
10036,20171012,精彩点,超能老豆(10),23:20:13,23:53:31,10750
10036,20170816,精彩点,繁星四月(31)(高清),15:05:12,15:37:34,10750
10036,20171014,精彩点,超能老豆(13),0:15:47,0:56:31,10750
10036,20170721,精彩点,剃刀边缘(06)(高清),23:49:44,0:30:22,10750
10036,20171010,精彩点,老表，毕业喇！(10),15:44:33,16:26:55,10750
10036,20171003,热点专题,绝世高手(高清)(“暴力少女”郭采洁),10:57:20,12:20:02,10750
10036,20170922,精彩点,踩过界(27),15:52:34,16:21:55,10750
10036,20170814,精彩点,繁星四月(17)(高清),17:28:10,17:35:11,10750
10036,20170914,精彩点,大军师司马懿之军师联盟(25)(高清),22:07:48,22:36:18,10750
10036,20170909,精彩点,大军师司马懿之军师联盟(13)(高清),16:00:43,16:41:49,10750
10036,20170808,精彩点,繁星四月(02)(高清),22:33:40,23:08:57,10750
10036,20170806,热点专题,龙珠Z：复活的弗利萨(高清),17:23:14,17:54:17,10750
10036,20171008,精彩点,大军师司马懿之军师联盟(41)(高清),20:52:12,21:34:09,10750
10036,20170801,精彩点,我的前半生(27)(高清),11:28:59,11:37:37,10750
10036,20170802,精彩点,我的前半生(42)(大结局)(高清),16:58:22,17:20:13,10750
10036,20170812,精彩点,08月11日 中国新歌声 第二季：张婉清红酒嗓再现经典(高清),17:44:44,18:40:20,10750
10036,20170909,精彩点,大军师司马懿之军师联盟(15)(高清),17:23:55,17:36:42,10750
10036,20170803,精彩点,赌城群英会(32)(高清),21:16:49,21:58:55,10750
10036,20170820,精彩点,大军师司马懿之军师联盟(02)(高清),15:34:20,16:28:49,10750
10036,20170818,精彩点,繁星四月(38)(高清),22:55:19,22:56:39,10750
10036,20171031,精彩点,不懂撒娇的女人(06),22:28:05,23:09:02,10750
10036,20170803,精彩点,赌城群英会(31)(高清),21:11:55,21:16:51,10750
10036,20170922,精彩点,踩过界(27)(高清),15:52:34,16:21:55,10750
10036,20170908,热点专题,好先生(03)(高清),12:18:13,13:04:16,10750
10036,20170806,精彩点,08月04日 中国新歌声 第二季：王菲密友登场召唤回忆杀(高清),13:26:11,14:41:04,10750
10036,20171025,热点专题,蜗居(28),22:43:14,23:23:38,10750
10036,20171014,精彩点,虎妈猫爸(01)(高清),21:26:06,21:27:54,10750
10036,20170909,精彩点,大军师司马懿之军师联盟(14)(高清),16:41:47,17:23:56,10750
10036,20170801,精彩点,我的前半生(31)(高清),21:33:51,22:14:43,10750
10036,20170915,精彩点,大军师司马懿之军师联盟(29)(高清),13:12:17,13:34:49,10750
10036,20170820,精彩点,大军师司马懿之军师联盟(03)(高清),16:28:47,17:10:43,10750
10036,20170915,精彩点,大军师司马懿之军师联盟(28)(高清),13:34:47,21:26:47,10750
10036,20170728,精彩点,我的前半生(12)(高清),21:23:12,22:02:22,10750
10036,20170730,精彩点,我的前半生(14)(高清),0:04:42,0:09:26,10750
10036,20170820,精彩点,大军师司马懿之军师联盟(01)(高清),14:57:44,15:34:22,10750
10036,20170721,精彩点,剃刀边缘(11)(高清),23:09:44,23:50:13,10750
10036,20170801,精彩点,我的前半生(30)(高清),13:45:50,16:05:14,10750
10036,20171001,精彩点,实习天使(粤语版)(13)(高清),15:49:09,15:50:43,10750
10036,20170812,精彩点,08月11日 中国新歌声 第二季：张婉清红酒嗓再现经典(高清),19:31:25,19:59:58,10750
10036,20170729,精彩点,剃刀边缘(45)(高清),20:08:24,20:51:14,10750
10036,20170904,精彩点,超时空男臣(22),13:59:46,18:10:01,10750
10036,20171010,精彩点,使徒行者2(10),19:38:07,20:45:02,10750
10036,20170912,精彩点,踩过界(20),17:22:46,18:12:04,10750
10036,20170816,精彩点,繁星四月(29)(高清),0:03:47,0:45:46,10750
10036,20170816,精彩点,同盟(06)(高清),22:14:58,22:30:51,10750
10036,20170926,精彩点,爱？回家之开心速递(154),18:19:24,21:35:57,10750
10036,20170729,精彩点,剃刀边缘(44)(高清),19:24:38,20:08:16,10750
10037,20171007,热点专题,仙剑奇侠传三(23)(高清),16:56:54,17:34:32,10811
10037,20170808,精彩点,浪花一朵朵(05)(高清),12:28:44,12:48:07,10811
10037,20170826,精彩点,08月18日 神奇阿呦,17:52:36,18:11:14,10811
